rank,sourceid,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs._(2013),total_docs._(3years),total_refs.,total_cites_(3years),citable_docs._(3years),cites_/_doc._(2years),ref._/_doc.,%female,overton,sdg,country,region,publisher,coverage,categories,areas,year,total_docs._(2014),total_docs._(2015),total_docs._(2016),total_docs._(2017),total_docs._(2018),total_docs._(2019),total_docs._(2020),total_docs._(2021),total_docs._(2022),total_docs._(2023),areas_split,Min_Percentile_own,sjr_best_quartile_own
27185,21100372856,Data in Brief,journal,23523409,"0,105",Q4,52,,3123,10500,3047,0,"1,05","8,24","30,77",27,391,United States,Northern America,Elsevier Inc.,2014-2023,Education (Q4); Multidisciplinary (Q4),Multidisciplinary; Social Sciences,2019,,,,,,1274.0,,,,,"['Multidisciplinary', 'Social Sciences']",18.367346938775512,Q1
31158,21101036139,Environmental and Sustainability Indicators,journal,26659727,,-,25,,0,710,0,0,"0,00","64,55","31,03",3,7,Netherlands,Western Europe,Elsevier B.V.,2019-2023,"Agricultural and Biological Sciences (miscellaneous); Ecology, Evolution, Behavior and Systematics; Environmental Science (miscellaneous); Management, Monitoring, Policy and Law",Agricultural and Biological Sciences; Environmental Science,2019,,,,,,11.0,,,,,"['Agricultural and Biological Sciences', 'Environmental Science']",10.691056910569104,Q1
33470,21100904991,Results in Engineering,journal,25901230,,-,36,,0,1293,0,0,"0,00","21,92","20,27",2,18,Netherlands,Western Europe,Elsevier B.V.,2019-2023,Engineering (miscellaneous),Engineering,2019,,,,,,59.0,,,,,['Engineering'],20.988407565588773,Q1
493,27567,Renewable and Sustainable Energy Reviews,journal,"13640321, 18790690","3,522",Q1,421,,3234,73594,55165,3201,"16,57","114,81","25,70",137,564,United Kingdom,Western Europe,Elsevier Ltd,1997-2023,"Renewable Energy, Sustainability and the Environment (Q1)",Energy,2020,,,,,,,641.0,,,,['Energy'],0.5621925509486999,D1
715,21100924827,Communications Biology,journal,23993642,"2,812",Q1,73,,704,40713,3762,665,"5,34","56,00","35,78",28,209,United States,Northern America,Springer Nature,2018-2023,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine",2020,,,,,,,727.0,,,,"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Medicine']",1.7063492063492063,D1
752,29372,Energy Conversion and Management,journal,01968904,"2,743",Q1,250,,3474,61133,35181,3453,"10,07","54,44","23,65",33,858,United Kingdom,Western Europe,Elsevier Ltd,1979-2023,"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Energy,2020,,,,,,,1123.0,,,,['Energy'],1.0541110330288124,D1
1178,23916,Environmental Pollution,journal,"02697491, 18736424","2,136",Q1,301,,4199,130310,35888,4164,"8,14","61,88","41,25",253,1227,United Kingdom,Western Europe,Elsevier Ltd,"1970-1980, 1986-2023","Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Pollution (Q1); Toxicology (Q1)","Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics",2020,,,,,,,2106.0,,,,"['Environmental Science', 'Medicine', 'Pharmacology, Toxicology and Pharmaceutics']",2.9769959404600814,D1
1357,29348,Energy,journal,"18736785, 03605442","1,961",Q1,251,,6498,109545,49378,6476,"7,58","47,30","25,96",99,1519,United Kingdom,Western Europe,Elsevier Ltd,1976-2023,"Building and Construction (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Fuel Technology (Q1); Industrial and Manufacturing Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Energy; Engineering; Environmental Science; Mathematics,2020,,,,,,,2316.0,,,,"['Energy', 'Engineering', 'Environmental Science', 'Mathematics']",0.811078140454995,D1
1404,19167,Journal of Cleaner Production,journal,"09596526, 18791786","1,937",Q1,309,,10592,300980,103801,10566,"9,59","61,06","34,95",479,4074,United Kingdom,Western Europe,Elsevier Ltd,1993-2023,"Environmental Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Strategy and Management (Q1)","Business, Management and Accounting; Energy; Engineering; Environmental Science",2020,,,,,,,4929.0,,,,"['Business, Management and Accounting', 'Energy', 'Engineering', 'Environmental Science']",1.8393623543838136,D1
1634,25349,Science of the Total Environment,journal,"00489697, 18791026","1,795",Q1,353,,13262,456766,108094,13109,"8,05","66,06","39,59",998,4731,Netherlands,Western Europe,Elsevier B.V.,"1970, 1972-2024",Environmental Chemistry (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1),Environmental Science,2020,,,,,,,6914.0,,,,['Environmental Science'],4.790748898678414,D1
1920,19700194105,Sustainable Cities and Society,journal,"22106715, 22106707","1,645",Q1,130,,1284,43760,11116,1282,"8,64","62,25","30,23",72,576,Netherlands,Western Europe,Elsevier B.V.,2011-2023,"Civil and Structural Engineering (Q1); Geography, Planning and Development (Q1); Renewable Energy, Sustainability and the Environment (Q1); Transportation (Q1)",Energy; Engineering; Social Sciences,2020,,,,,,,703.0,,,,"['Energy', 'Engineering', 'Social Sciences']",1.1559990265271356,D1
2420,23371,Journal of Environmental Management,journal,"10958630, 03014797","1,441",Q1,243,,3823,88397,27508,3796,"6,97","61,60","35,57",154,1147,United States,Northern America,Academic Press,"1973, 1975, 1977-2023","Environmental Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Medicine (miscellaneous) (Q1); Waste Management and Disposal (Q1)",Environmental Science; Medicine,2020,,,,,,,1435.0,,,,"['Environmental Science', 'Medicine']",6.52294085129906,D1
2827,20292,Ecological Indicators,journal,1470160X,"1,315",Q1,183,,2430,73866,13004,2406,"5,05","68,97","36,99",112,763,Netherlands,Western Europe,Elsevier B.V.,2001-2023,"Decision Sciences (miscellaneous) (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",Agricultural and Biological Sciences; Decision Sciences; Environmental Science,2020,,,,,,,1071.0,,,,"['Agricultural and Biological Sciences', 'Decision Sciences', 'Environmental Science']",4.512195121951219,D1
3128,21100200805,Scientific Reports,journal,20452322,"1,240",Q1,315,,61295,1029394,282955,61291,"4,14","47,70","37,69",1036,6794,United Kingdom,Western Europe,Nature Publishing Group,2011-2023,Multidisciplinary (Q1),Multidisciplinary,2020,,,,,,,21582.0,,,,['Multidisciplinary'],1.6,D1
3192,21100826280,Frontiers in Environmental Science,journal,2296665X,"1,225",Q1,77,,443,18919,2003,419,"4,44","67,33","37,17",57,194,Switzerland,Western Europe,Frontiers Media SA,2013-2023,Environmental Science (miscellaneous) (Q1),Environmental Science,2020,,,,,,,281.0,,,,['Environmental Science'],10.306686777275011,Q1
3531,21100220478,Urban Climate,journal,22120955,"1,151",Q1,75,,265,9670,1620,264,"6,37","57,90","36,48",27,146,Netherlands,Western Europe,Elsevier B.V.,2012-2023,"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1); Atmospheric Science (Q2)",Earth and Planetary Sciences; Environmental Science; Social Sciences,2020,,,,,,,167.0,,,,"['Earth and Planetary Sciences', 'Environmental Science', 'Social Sciences']",5.219713522699684,D1
3831,23271,International Journal of Life Cycle Assessment,journal,"09483349, 16147502","1,093",Q1,131,,523,8706,2008,482,"3,69","53,41","40,75",59,159,Germany,Western Europe,,1996-2023,Environmental Science (miscellaneous) (Q1),Environmental Science,2020,,,,,,,163.0,,,,['Environmental Science'],5.93490746649649,D1
4431,10600153309,PLoS ONE,journal,19326203,"0,990",Q1,435,,54019,756917,187562,54007,"3,07","47,49","41,61",1718,6951,United States,Northern America,Public Library of Science,2006-2023,Multidisciplinary (Q1),Multidisciplinary,2020,,,,,,,15940.0,,,,['Multidisciplinary'],5.391467416783873,D1
4600,21100255493,Journal of Environmental Chemical Engineering,journal,"22133437, 22132929","0,965",Q1,127,,2131,63760,12362,2129,"5,90","61,19","35,82",15,555,United Kingdom,Western Europe,Elsevier B.V.,2013-2023,Chemical Engineering (miscellaneous) (Q1); Pollution (Q1); Process Chemistry and Technology (Q1); Waste Management and Disposal (Q1),Chemical Engineering; Environmental Science,2020,,,,,,,1042.0,,,,"['Chemical Engineering', 'Environmental Science']",10.860366713681241,Q1
4894,25776,Quaternary International,journal,10406182,"0,927",Q1,125,,1955,35770,4490,1835,"2,06","78,44","37,13",9,75,United Kingdom,Western Europe,Elsevier Ltd,1989-2023,Earth-Surface Processes (Q1),Earth and Planetary Sciences,2020,,,,,,,456.0,,,,['Earth and Planetary Sciences'],13.156230234029096,Q1
4973,21100253674,Nanomaterials,journal,20794991,"0,919",Q1,126,,3312,156326,17350,3274,"5,06","61,67","36,72",42,666,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2011-2023,Chemical Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1),Chemical Engineering; Materials Science,2020,,,,,,,2535.0,,,,"['Chemical Engineering', 'Materials Science']",13.069094804499196,Q1
5137,21100324365,Journal of Water Process Engineering,journal,22147144,"0,901",Q1,89,,672,36844,3666,670,"5,57","56,51","35,16",5,483,United Kingdom,Western Europe,Elsevier Ltd,2014-2023,"Safety, Risk, Reliability and Quality (Q1); Water Science and Technology (Q1); Biotechnology (Q2); Process Chemistry and Technology (Q2); Waste Management and Disposal (Q2)","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Environmental Science",2020,,,,,,,652.0,,,,"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering', 'Environmental Science']",6.7128900094547745,D1
5596,23918,Environmental Science and Pollution Research,journal,"09441344, 16147499","0,845",Q2,179,,8870,215557,35999,8722,"4,01","58,09","40,63",193,2386,Germany,Western Europe,,1994-2023,"Environmental Chemistry (Q2); Health, Toxicology and Mutagenesis (Q2); Medicine (miscellaneous) (Q2); Pollution (Q2)",Environmental Science; Medicine,2020,,,,,,,3711.0,,,,"['Environmental Science', 'Medicine']",16.52839821314614,Q1
5622,15168,Hydrobiologia,journal,"15735117, 00188158","0,843",Q1,165,,1246,21406,3176,1225,"2,51","73,56","38,18",24,130,Netherlands,Western Europe,Springer Netherlands,1948-2023,Aquatic Science (Q1),Agricultural and Biological Sciences,2020,,,,,,,291.0,,,,['Agricultural and Biological Sciences'],14.082840236686389,Q1
7325,76627,Materials,journal,19961944,"0,682",Q2,168,,8289,279646,32164,8230,"3,71","48,02","32,08",28,1134,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2008-2023,Condensed Matter Physics (Q2); Materials Science (miscellaneous) (Q2),Materials Science; Physics and Astronomy,2020,,,,,,,5823.0,,,,"['Materials Science', 'Physics and Astronomy']",12.630208333333334,Q1
8010,15026,Flow Measurement and Instrumentation,journal,09555986,"0,630",Q2,69,,384,3554,951,380,"2,44","28,43","22,63",1,17,United Kingdom,Western Europe,Elsevier B.V.,1989-2023,Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Instrumentation (Q2); Modeling and Simulation (Q2),Computer Science; Engineering; Mathematics; Physics and Astronomy,2020,,,,,,,125.0,,,,"['Computer Science', 'Engineering', 'Mathematics', 'Physics and Astronomy']",9.210060219624513,D1
8259,21100240100,Sustainability,journal,20711050,"0,612",Q1,169,,14478,665269,53537,14351,"3,57","62,38","38,39",1002,7900,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2009-2023,"Geography, Planning and Development (Q1); Energy Engineering and Power Technology (Q2); Environmental Science (miscellaneous) (Q2); Management, Monitoring, Policy and Law (Q2); Renewable Energy, Sustainability and the Environment (Q2)",Energy; Environmental Science; Social Sciences,2020,,,,,,,10665.0,,,,"['Energy', 'Environmental Science', 'Social Sciences']",12.157413914265636,Q1
8439,62932,Energies,journal,19961073,"0,598",Q2,152,,10681,302042,38314,10640,"3,47","45,99","24,93",250,3942,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2008-2023,"Control and Optimization (Q2); Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2); Energy (miscellaneous) (Q2); Fuel Technology (Q2); Renewable Energy, Sustainability and the Environment (Q2)",Energy; Engineering; Mathematics,2020,,,,,,,6568.0,,,,"['Energy', 'Engineering', 'Mathematics']",9.5351137487636,D1
8607,21100374601,IEEE Access,journal,21693536,"0,587",Q1,242,,24248,785900,113026,24183,"4,33","44,00","27,33",0,3559,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2013-2023,Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q2),Computer Science; Engineering; Materials Science,2020,,,,,,,17860.0,,,,"['Computer Science', 'Engineering', 'Materials Science']",7.281105990783409,D1
9027,13909,Geobios,journal,"00166995, 17775728","0,558",Q2,58,,122,3051,170,118,"1,37","84,75","24,18",1,2,France,Western Europe,Elsevier Masson s.r.l.,"1966, 1968-2023",Paleontology (Q2); Stratigraphy (Q2); Space and Planetary Science (Q3),Earth and Planetary Sciences,2020,,,,,,,36.0,,,,['Earth and Planetary Sciences'],22.059758423394786,Q1
9661,21100399705,Minerals,journal,2075163X,"0,524",Q2,58,,1635,68015,4595,1610,"2,73","59,93","33,04",21,185,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2010-2023,Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2),Earth and Planetary Sciences,2020,,,,,,,1135.0,,,,['Earth and Planetary Sciences'],30.552220888355343,Q2
10906,21100411756,Heliyon,journal,24058440,"0,455",Q1,88,,2689,132107,7775,2688,"2,90","48,69","36,01",129,1170,Netherlands,Western Europe,Elsevier B.V.,2015-2023,Multidisciplinary (Q1),Multidisciplinary,2020,,,,,,,2713.0,,,,['Multidisciplinary'],14.545454545454545,Q1
12495,21100774305,"Journal of Sustainable Development of Energy, Water and Environment Systems",journal,18489257,"0,384",Q2,23,,139,2106,302,138,"2,32","40,50","33,14",5,47,Croatia,Eastern Europe,"International Centre for Sustainable Development of Energy, Water and Environment Systems SDEWES",2013-2023,"Environmental Science (miscellaneous) (Q2); Energy Engineering and Power Technology (Q3); Renewable Energy, Sustainability and the Environment (Q3); Water Science and Technology (Q3)",Energy; Environmental Science,2020,,,,,,,52.0,,,,"['Energy', 'Environmental Science']",18.622628250175683,Q1
12519,21100904991,Results in Engineering,journal,25901230,"0,383",Q2,36,,59,3696,151,58,"2,56","33,30","16,12",0,32,Netherlands,Western Europe,Elsevier B.V.,2019-2023,Engineering (miscellaneous) (Q2),Engineering,2020,,,,,,,111.0,,,,['Engineering'],20.988407565588773,Q1
13187,21100317906,MethodsX,journal,22150161,"0,356",Q2,46,,545,7684,1034,545,"1,79","18,00","38,63",14,121,Netherlands,Western Europe,Elsevier B.V.,2014-2023,Medical Laboratory Technology (Q2); Clinical Biochemistry (Q3),"Biochemistry, Genetics and Molecular Biology; Health Professions",2020,,,,,,,427.0,,,,"['Biochemistry, Genetics and Molecular Biology', 'Health Professions']",28.54785478547855,Q2
15652,21100773812,Chemistry Journal of Moldova,journal,"18571727, 23451688","0,275",Q3,10,,78,768,113,78,"1,13","38,40","45,24",0,2,Moldova,Eastern Europe,"Institute of Chemistry, Academy of Sciences of Moldova",2016-2023,Chemistry (miscellaneous) (Q3); Environmental Chemistry (Q4); Process Chemistry and Technology (Q4),Chemical Engineering; Chemistry; Environmental Science,2020,,,,,,,20.0,,,,"['Chemical Engineering', 'Chemistry', 'Environmental Science']",48.14004376367615,Q2
16655,12000154347,Environmental Engineering and Management Journal,journal,15829596,"0,250",Q3,46,,858,7374,856,852,"1,04","38,61","43,54",0,122,Romania,Eastern Europe,Gh. Asachi Technical University of Iasi,"1988, 2002-2023","Environmental Engineering (Q3); Management, Monitoring, Policy and Law (Q3); Pollution (Q3)",Environmental Science,2020,,,,,,,191.0,,,,['Environmental Science'],39.10034602076124,Q2
17433,16400154787,Sustainability,journal,"19370709, 19370695","0,234",Q3,0,,0,0,0,0,"0,00","0,00","0,00",0,0,United States,Northern America,Mary Ann Liebert Inc.,2009-2020,"Education (Q3); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3); Renewable Energy, Sustainability and the Environment (Q4)",Energy; Environmental Science; Social Sciences,2020,,,,,,,0.0,,,,"['Energy', 'Environmental Science', 'Social Sciences']",12.157413914265636,Q1
26502,21100372856,Data in Brief,journal,23523409,"0,122",Q4,52,,3550,14845,3939,3,"1,10","8,36","33,33",38,620,United States,Northern America,Elsevier Inc.,2014-2023,Education (Q4); Multidisciplinary (Q4),Multidisciplinary; Social Sciences,2020,,,,,,,1775.0,,,,"['Multidisciplinary', 'Social Sciences']",18.367346938775512,Q1
33107,21101043776,Current Research in Green and Sustainable Chemistry,journal,26660865,,-,30,,0,2480,0,0,"0,00","59,05","23,94",0,16,Netherlands,Western Europe,Elsevier B.V.,2020-2023,Environmental Chemistry; Materials Chemistry; Physical and Theoretical Chemistry,Chemistry; Environmental Science; Materials Science,2020,,,,,,,42.0,,,,"['Chemistry', 'Environmental Science', 'Materials Science']",16.043307086614174,Q1
33315,21101036139,Environmental and Sustainability Indicators,journal,26659727,,-,25,,11,4217,45,10,"4,09","60,24","26,53",7,58,Netherlands,Western Europe,Elsevier B.V.,2019-2023,"Agricultural and Biological Sciences (miscellaneous); Ecology, Evolution, Behavior and Systematics; Environmental Science (miscellaneous); Management, Monitoring, Policy and Law",Agricultural and Biological Sciences; Environmental Science,2020,,,,,,,70.0,,,,"['Agricultural and Biological Sciences', 'Environmental Science']",10.691056910569104,Q1
427,27567,Renewable and Sustainable Energy Reviews,journal,"13640321, 18790690","3,678",Q1,421,,2447,147105,47440,2428,"17,42","119,99","28,77",186,1085,United Kingdom,Western Europe,Elsevier Ltd,1997-2023,"Renewable Energy, Sustainability and the Environment (Q1)",Energy,2021,,,,,,,,1226.0,,,['Energy'],0.5621925509486999,D1
656,29372,Energy Conversion and Management,journal,01968904,"2,829",Q1,250,,3539,61569,39487,3511,"11,15","53,91","23,52",24,905,United Kingdom,Western Europe,Elsevier Ltd,1979-2023,"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Energy,2021,,,,,,,,1142.0,,,['Energy'],1.0541110330288124,D1
1020,21100924827,Communications Biology,journal,23993642,"2,256",Q1,73,,1431,80796,9066,1368,"6,09","61,96","37,47",34,400,United States,Northern America,Springer Nature,2018-2023,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine",2021,,,,,,,,1304.0,,,"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Medicine']",1.7063492063492063,D1
1202,29348,Energy,journal,"18736785, 03605442","2,041",Q1,251,,6882,124737,59473,6860,"8,59","50,64","26,27",78,1681,United Kingdom,Western Europe,Elsevier Ltd,1976-2023,"Building and Construction (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Fuel Technology (Q1); Industrial and Manufacturing Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Energy; Engineering; Environmental Science; Mathematics,2021,,,,,,,,2463.0,,,"['Energy', 'Engineering', 'Environmental Science', 'Mathematics']",0.811078140454995,D1
1228,19700194105,Sustainable Cities and Society,journal,"22106715, 22106707","2,015",Q1,130,,1707,56885,18598,1705,"11,05","67,40","31,58",75,747,Netherlands,Western Europe,Elsevier B.V.,2011-2023,"Civil and Structural Engineering (Q1); Geography, Planning and Development (Q1); Renewable Energy, Sustainability and the Environment (Q1); Transportation (Q1)",Energy; Engineering; Social Sciences,2021,,,,,,,,844.0,,,"['Energy', 'Engineering', 'Social Sciences']",1.1559990265271356,D1
1299,23916,Environmental Pollution,journal,"02697491, 18736424","1,954",Q1,301,,5208,159916,50628,5169,"9,21","67,53","41,36",169,1495,United Kingdom,Western Europe,Elsevier Ltd,"1970-1980, 1986-2023","Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Pollution (Q1); Toxicology (Q1)","Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics",2021,,,,,,,,2368.0,,,"['Environmental Science', 'Medicine', 'Pharmacology, Toxicology and Pharmaceutics']",2.9769959404600814,D1
1337,19167,Journal of Cleaner Production,journal,"09596526, 18791786","1,921",Q1,309,,12747,362647,142597,12726,"10,93","68,06","34,62",385,4454,United Kingdom,Western Europe,Elsevier Ltd,1993-2023,"Environmental Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Strategy and Management (Q1)","Business, Management and Accounting; Energy; Engineering; Environmental Science",2021,,,,,,,,5328.0,,,"['Business, Management and Accounting', 'Energy', 'Engineering', 'Environmental Science']",1.8393623543838136,D1
1487,25349,Science of the Total Environment,journal,"00489697, 18791026","1,806",Q1,353,,17452,545004,178953,17236,"10,22","72,76","39,94",756,5131,Netherlands,Western Europe,Elsevier B.V.,"1970, 1972-2024",Environmental Chemistry (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1),Environmental Science,2021,,,,,,,,7490.0,,,['Environmental Science'],4.790748898678414,D1
2131,23371,Journal of Environmental Management,journal,"10958630, 03014797","1,481",Q1,243,,4322,151601,37382,4304,"8,64","69,10","36,72",161,1837,United States,Northern America,Academic Press,"1973, 1975, 1977-2023","Environmental Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Medicine (miscellaneous) (Q1); Waste Management and Disposal (Q1)",Environmental Science; Medicine,2021,,,,,,,,2194.0,,,"['Environmental Science', 'Medicine']",6.52294085129906,D1
2685,21100220478,Urban Climate,journal,22120955,"1,301",Q1,75,,382,18797,2787,382,"7,04","64,15","32,90",28,268,Netherlands,Western Europe,Elsevier B.V.,2012-2023,"Atmospheric Science (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1)",Earth and Planetary Sciences; Environmental Science; Social Sciences,2021,,,,,,,,293.0,,,"['Earth and Planetary Sciences', 'Environmental Science', 'Social Sciences']",5.219713522699684,D1
2742,20292,Ecological Indicators,journal,1470160X,"1,284",Q1,183,,2872,106000,18415,2843,"6,24","69,37","36,69",98,1079,Netherlands,Western Europe,Elsevier B.V.,2001-2023,"Decision Sciences (miscellaneous) (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",Agricultural and Biological Sciences; Decision Sciences; Environmental Science,2021,,,,,,,,1528.0,,,"['Agricultural and Biological Sciences', 'Decision Sciences', 'Environmental Science']",4.512195121951219,D1
2914,21100826280,Frontiers in Environmental Science,journal,2296665X,"1,233",Q1,77,,639,43357,3608,605,"4,92","66,91","37,74",64,464,Switzerland,Western Europe,Frontiers Media SA,2013-2023,Environmental Science (miscellaneous) (Q1),Environmental Science,2021,,,,,,,,648.0,,,['Environmental Science'],10.306686777275011,Q1
3405,23271,International Journal of Life Cycle Assessment,journal,"09483349, 16147502","1,121",Q1,131,,516,8489,2456,482,"4,61","52,40","38,84",41,157,Germany,Western Europe,,1996-2023,Environmental Science (miscellaneous) (Q1),Environmental Science,2021,,,,,,,,162.0,,,['Environmental Science'],5.93490746649649,D1
3846,21100255493,Journal of Environmental Chemical Engineering,journal,"22133437, 22132929","1,042",Q1,127,,2512,155889,18810,2509,"7,48","69,10","35,32",20,1398,United Kingdom,Western Europe,Elsevier B.V.,2013-2023,Chemical Engineering (miscellaneous) (Q1); Pollution (Q1); Process Chemistry and Technology (Q1); Waste Management and Disposal (Q1),Chemical Engineering; Environmental Science,2021,,,,,,,,2256.0,,,"['Chemical Engineering', 'Environmental Science']",10.860366713681241,Q1
3938,21100324365,Journal of Water Process Engineering,journal,22147144,"1,027",Q1,89,,1138,49775,7995,1137,"7,02","66,46","37,84",3,599,United Kingdom,Western Europe,Elsevier Ltd,2014-2023,"Biotechnology (Q1); Process Chemistry and Technology (Q1); Safety, Risk, Reliability and Quality (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Environmental Science",2021,,,,,,,,749.0,,,"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering', 'Environmental Science']",6.7128900094547745,D1
4083,21100200805,Scientific Reports,journal,20452322,"1,005",Q1,315,,58552,1111453,289048,58537,"4,65","47,10","37,45",909,8175,United Kingdom,Western Europe,Nature Publishing Group,2011-2023,Multidisciplinary (Q1),Multidisciplinary,2021,,,,,,,,23596.0,,,['Multidisciplinary'],1.6,D1
4580,21100374601,IEEE Access,journal,21693536,"0,927",Q1,242,,39274,598224,184304,39173,"4,51","47,31","25,03",0,2805,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2013-2023,Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1),Computer Science; Engineering; Materials Science,2021,,,,,,,,12645.0,,,"['Computer Science', 'Engineering', 'Materials Science']",7.281105990783409,D1
5038,25776,Quaternary International,journal,10406182,"0,872",Q1,125,,1640,34670,4000,1539,"2,26","81,38","37,19",15,88,United Kingdom,Western Europe,Elsevier Ltd,1989-2023,Earth-Surface Processes (Q1),Earth and Planetary Sciences,2021,,,,,,,,426.0,,,['Earth and Planetary Sciences'],13.156230234029096,Q1
5221,10600153309,PLoS ONE,journal,19326203,"0,852",Q1,435,,49576,789778,192408,49569,"3,65","48,07","41,83",1293,7679,United States,Northern America,Public Library of Science,2006-2023,Multidisciplinary (Q1),Multidisciplinary,2021,,,,,,,,16429.0,,,['Multidisciplinary'],5.391467416783873,D1
5346,21100253674,Nanomaterials,journal,20794991,"0,839",Q1,126,,5391,215096,30717,5325,"5,59","62,31","36,70",29,917,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2011-2023,Chemical Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1),Chemical Engineering; Materials Science,2021,,,,,,,,3452.0,,,"['Chemical Engineering', 'Materials Science']",13.069094804499196,Q1
5430,23918,Environmental Science and Pollution Research,journal,"09441344, 16147499","0,831",Q1,179,,10067,326265,49952,9907,"4,93","62,65","40,42",167,3575,Germany,Western Europe,,1994-2023,"Health, Toxicology and Mutagenesis (Q1); Environmental Chemistry (Q2); Medicine (miscellaneous) (Q2); Pollution (Q2)",Environmental Science; Medicine,2021,,,,,,,,5208.0,,,"['Environmental Science', 'Medicine']",16.52839821314614,Q1
5830,15168,Hydrobiologia,journal,"15735117, 00188158","0,791",Q1,165,,1105,26009,3225,1089,"2,64","82,57","39,74",28,150,Netherlands,Western Europe,Springer Netherlands,1948-2023,Aquatic Science (Q1),Agricultural and Biological Sciences,2021,,,,,,,,315.0,,,['Agricultural and Biological Sciences'],14.082840236686389,Q1
