rank,sourceid,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs._(2013),total_docs._(3years),total_refs.,total_cites_(3years),citable_docs._(3years),cites_/_doc._(2years),ref._/_doc.,%female,overton,sdg,country,region,publisher,coverage,categories,areas,year,total_docs._(2014),total_docs._(2015),total_docs._(2016),total_docs._(2017),total_docs._(2018),total_docs._(2019),total_docs._(2020),total_docs._(2021),total_docs._(2022),total_docs._(2023),areas_split,Min_Percentile_own,sjr_best_quartile_own
31177,21100826280,Frontiers in Environmental Science,journal,2296665X,,-,77,4.0,0,117,0,0,"0,00","29,25","0,00",0,0,Switzerland,Western Europe,Frontiers Media SA,2013-2023,Environmental Science (miscellaneous),Environmental Science,2013,,,,,,,,,,,['Environmental Science'],10.306686777275011,Q1
31267,21100374601,IEEE Access,journal,21693536,,-,242,64.0,0,2733,0,0,"0,00","42,70","15,09",0,0,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2013-2023,Computer Science (miscellaneous); Engineering (miscellaneous); Materials Science (miscellaneous),Computer Science; Engineering; Materials Science,2013,,,,,,,,,,,"['Computer Science', 'Engineering', 'Materials Science']",7.281105990783409,D1
31576,21100255493,Journal of Environmental Chemical Engineering,journal,"22133437, 22132929",,-,127,178.0,0,7241,0,0,"0,00","40,68","34,32",3,0,United Kingdom,Western Europe,Elsevier B.V.,2013-2023,Chemical Engineering (miscellaneous); Pollution; Process Chemistry and Technology; Waste Management and Disposal,Chemical Engineering; Environmental Science,2013,,,,,,,,,,,"['Chemical Engineering', 'Environmental Science']",10.860366713681241,Q1
31714,21100774305,"Journal of Sustainable Development of Energy, Water and Environment Systems",journal,18489257,,-,23,29.0,0,826,0,0,"0,00","28,48","29,11",4,0,Croatia,Eastern Europe,"International Centre for Sustainable Development of Energy, Water and Environment Systems SDEWES",2013-2023,"Energy Engineering and Power Technology; Environmental Science (miscellaneous); Renewable Energy, Sustainability and the Environment; Water Science and Technology",Energy; Environmental Science,2013,,,,,,,,,,,"['Energy', 'Environmental Science']",18.622628250175683,Q1
31910,21100253674,Nanomaterials,journal,20794991,,-,126,40.0,33,2061,76,32,"2,30","51,53","28,57",1,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2011-2023,Chemical Engineering (miscellaneous); Materials Science (miscellaneous),Chemical Engineering; Materials Science,2013,,,,,,,,,,,"['Chemical Engineering', 'Materials Science']",13.069094804499196,Q1
651,27567,Renewable and Sustainable Energy Reviews,journal,"13640321, 18790690","3,030",Q1,421,,1730,68627,15009,1719,"7,83","82,19","25,16",279,0,United Kingdom,Western Europe,Elsevier Ltd,1997-2023,"Renewable Energy, Sustainability and the Environment (Q1)",Energy,2014,835.0,,,,,,,,,,['Energy'],0.5621925509486999,D1
878,29348,Energy,journal,"18736785, 03605442","2,575",Q1,251,,2365,49564,14665,2325,"5,81","39,06","23,23",181,0,United Kingdom,Western Europe,Elsevier Ltd,1976-2023,Building and Construction (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1); Pollution (Q1),Energy; Engineering; Environmental Science,2014,1269.0,,,,,,,,,,"['Energy', 'Engineering', 'Environmental Science']",0.811078140454995,D1
1212,21100200805,Scientific Reports,journal,20452322,"2,163",Q1,315,,3397,156162,20523,3397,"6,01","40,67","29,66",230,0,United Kingdom,Western Europe,Nature Publishing Group,2011-2023,Multidisciplinary (Q1),Multidisciplinary,2014,3840.0,,,,,,,,,,['Multidisciplinary'],1.6,D1
1413,23916,Environmental Pollution,journal,"02697491, 18736424","1,987",Q1,301,,1409,21850,7100,1382,"4,54","47,50","37,36",193,0,United Kingdom,Western Europe,Elsevier Ltd,"1970-1980, 1986-2023","Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Pollution (Q1); Toxicology (Q1)","Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics",2014,460.0,,,,,,,,,,"['Environmental Science', 'Medicine', 'Pharmacology, Toxicology and Pharmaceutics']",2.9769959404600814,D1
1718,29372,Energy Conversion and Management,journal,01968904,"1,789",Q1,250,,1345,37909,7697,1340,"5,34","37,83","22,77",55,0,United Kingdom,Western Europe,Elsevier Ltd,1979-2023,"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Energy,2014,1002.0,,,,,,,,,,['Energy'],1.0541110330288124,D1
